日付,高値,安値,終値,出来高
2016/7/15,5000,4310,4345,22212900
2016/7/19,4095,3890,3990,6729600
2016/7/20,4180,3890,4075,4998200
2016/7/21,4050,3925,4025,2771100
2016/7/22,3970,3865,3945,3393900
2016/7/25,4155,4025,4110,2215200
2016/7/26,4085,3940,4000,822700
2016/7/27,4210,4070,4135,1192600
2016/7/28,4070,3990,4010,966500
2016/7/29,3960,3855,3910,1020200
2016/8/1,3850,3780,3845,895600
2016/8/2,3840,3805,3820,367100
2016/8/3,3840,3800,3820,487400
2016/8/4,3965,3855,3950,976500
2016/8/5,4020,3955,3960,742700
2016/8/8,4125,4040,4075,968600
2016/8/9,4385,4120,4310,2092300
2016/8/10,4345,4230,4255,1072900
2016/8/12,4275,4185,4235,592100
2016/8/15,4485,4350,4430,1492400
2016/8/16,4795,4625,4780,3888100
2016/8/17,4795,4635,4785,1462900
2016/8/18,4820,4480,4550,1954800
2016/8/19,4765,4625,4695,1020000
2016/8/22,4735,4600,4630,546300
2016/8/23,4600,4465,4530,601000
2016/8/24,4520,4360,4390,759800
2016/8/25,4295,4180,4280,1150500
2016/8/26,4280,4165,4250,624800
2016/8/29,4410,4335,4390,697200
2016/8/30,4510,4350,4395,3098500
2016/8/31,4445,4385,4410,773600
2016/9/1,4440,4385,4420,405400
2016/9/2,4450,4320,4395,851100
2016/9/5,4510,4430,4475,849600
2016/9/6,4630,4510,4525,1235800
2016/9/7,4560,4475,4525,447700
2016/9/8,4535,4485,4525,327200
2016/9/9,4640,4565,4620,688400
2016/9/12,4515,4455,4455,934000
2016/9/13,4575,4495,4520,503800
2016/9/14,4520,4440,4485,716200
2016/9/15,4540,4475,4500,580600
2016/9/16,4550,4500,4520,354400
2016/9/20,4445,4355,4410,937300
2016/9/21,4520,4420,4515,443300
2016/9/23,4530,4440,4525,539700
2016/9/26,4800,4640,4740,2051700
2016/9/27,4990,4705,4935,2433400
2016/9/28,5230,5030,5060,2576000
2016/9/29,4990,4890,4905,1208900
2016/9/30,5050,4850,4860,1179900
2016/10/3,4950,4850,4910,472000
2016/10/4,4935,4875,4880,464100
2016/10/5,4980,4870,4970,592800
2016/10/6,5030,4955,5000,677100
2016/10/7,5040,4885,5000,793800
2016/10/11,5050,4860,4995,844600
2016/10/12,4935,4890,4905,516800
2016/10/13,4850,4755,4830,1169700
2016/10/17,4780,4660,4765,991800
2016/10/19,4650,4570,4580,1011100
2016/10/20,4640,4505,4600,1071900
2016/10/21,4720,4655,4660,611800
2016/10/24,4620,4570,4595,567700
2016/10/25,4725,4625,4680,749100
2016/10/26,4820,4690,4795,988500
2016/10/27,4520,4340,4495,3135300
2016/10/28,4475,4370,4380,1497700
2016/10/31,4380,4270,4305,1055900
2016/11/1,4285,4240,4260,697300
2016/11/2,4230,4135,4195,689800
2016/11/4,4080,3950,3975,1488700
2016/11/7,4070,3995,4015,1171000
2016/11/8,4140,4015,4135,1091400
2016/11/9,4165,3900,4035,1472400
2016/11/10,4165,4090,4145,802600
2016/11/11,4190,4065,4075,600200
2016/11/14,4190,4085,4095,681100
2016/11/15,4120,3980,4010,1204600
2016/11/16,4125,4050,4070,860900
2016/11/17,4185,4095,4165,1042800
2016/11/18,4210,4160,4200,687000
2016/11/21,4325,4260,4305,830200
2016/11/22,4430,4385,4405,1273800
2016/11/24,4485,4220,4250,1809900
2016/11/25,4385,4175,4370,1289500
2016/11/28,4415,4280,4400,896700
2016/11/29,4385,4315,4370,955600
2016/11/30,4450,4345,4410,5696700
2016/12/1,4465,4420,4455,997100
2016/12/2,4440,4385,4400,666000
2016/12/5,4340,4210,4215,824100
2016/12/6,4235,4100,4115,812600
2016/12/7,4150,4080,4130,774400
2016/12/8,4220,4115,4135,835900
2016/12/9,4155,4100,4130,610600
2016/12/12,4160,4090,4115,720100
2016/12/13,4150,4050,4115,548300
2016/12/14,4135,4065,4065,855800
2016/12/15,4095,4030,4030,749400
2016/12/16,4050,3995,3995,1101100
2016/12/19,4020,3980,3985,681200
2016/12/20,4025,3970,4005,478000
2016/12/21,4010,3970,3975,456900
2016/12/22,4090,3990,4075,740700
2016/12/26,4035,3990,4010,530500
2016/12/27,4020,3985,3985,441900
2016/12/28,4005,3980,4000,374600
2016/12/29,3990,3950,3955,399200
2016/12/30,4020,3930,4010,481100
